timestamp,temp,humidity,wind_speed,pressure,precip
2025-01-01 00:00:00,2.13,66,1.21,1016.3,0.0
2025-01-01 01:00:00,1.82,69,1.2,1014.7,0.0
2025-01-01 02:00:00,2.77,76,0.21,1016.6,0.0
2025-01-01 03:00:00,4.02,81,0.0,1016.1,0.0
2025-01-01 04:00:00,3.62,72,0.39,1016.5,0.0
2025-01-01 05:00:00,4.58,78,0.07,1015.0,0.0
2025-01-01 06:00:00,6.89,77,0.51,1015.1,0.0
2025-01-01 07:00:00,7.35,80,0.19,1017.0,0.0
2025-01-01 08:00:00,7.45,71,0.44,1017.7,0.0
2025-01-01 09:00:00,8.99,70,0.0,1016.8,0.0
2025-01-01 10:00:00,8.92,66,1.64,1017.1,0.0
2025-01-01 11:00:00,9.32,55,0.86,1018.7,0.0
2025-01-01 12:00:00,9.95,60,1.55,1018.9,0.0
2025-01-01 13:00:00,8.31,55,1.04,1018.6,0.0
2025-01-01 14:00:00,8.04,54,1.85,1019.5,0.0
2025-01-01 15:00:00,8.22,62,1.26,1018.1,0.0
2025-01-01 16:00:00,7.08,44,2.29,1018.9,0.0
2025-01-01 17:00:00,7.04,56,1.99,1020.7,0.0
2025-01-01 18:00:00,5.15,51,2.21,1019.5,0.0
2025-01-01 19:00:00,3.76,55,2.51,1019.7,0.0
2025-01-01 20:00:00,4.81,57,1.45,1021.5,0.0
2025-01-01 21:00:00,2.8,60,1.56,1018.6,0.0
2025-01-01 22:00:00,2.37,63,1.93,1020.4,0.0
2025-01-01 23:00:00,0.93,70,2.51,1021.2,0.0
2025-01-02 00:00:00,0.97,71,1.13,1019.6,0.0
2025-01-02 01:00:00,1.57,81,1.24,1020.5,0.0
2025-01-02 02:00:00,1.09,80,0.65,1019.1,0.0
2025-01-02 03:00:00,2.79,79,1.46,1019.3,0.0
2025-01-02 04:00:00,2.94,81,0.0,1020.1,0.0
2025-01-02 05:00:00,4.12,86,0.28,1020.3,0.0
2025-01-02 06:00:00,4.94,79,0.0,1020.5,0.0
2025-01-02 07:00:00,7.69,80,0.0,1020.8,0.0
2025-01-02 08:00:00,7.35,73,0.48,1019.4,0.0
2025-01-02 09:00:00,7.45,74,0.56,1020.2,0.0
