timestamp,load
2024-01-01 00:00:00,60.239
2024-01-01 01:00:00,61.502
2024-01-01 02:00:00,62.678
2024-01-01 03:00:00,64.038
2024-01-01 04:00:00,64.382
2024-01-01 05:00:00,64.45
2024-01-01 06:00:00,63.916
2024-01-01 07:00:00,65.736
2024-01-01 08:00:00,64.911
2024-01-01 09:00:00,63.375
2024-01-01 10:00:00,60.857
2024-01-01 11:00:00,60.666
2024-01-01 12:00:00,59.812
2024-01-01 13:00:00,58.899
2024-01-01 14:00:00,57.74
2024-01-01 15:00:00,56.12
2024-01-01 16:00:00,55.571
2024-01-01 17:00:00,54.915
2024-01-01 18:00:00,55.191
2024-01-01 19:00:00,53.965
2024-01-01 20:00:00,55.446
2024-01-01 21:00:00,56.896
2024-01-01 22:00:00,57.5
2024-01-01 23:00:00,58.675
2024-01-02 00:00:00,61.859
2024-01-02 01:00:00,64.18
2024-01-02 02:00:00,63.734
2024-01-02 03:00:00,66.652
2024-01-02 04:00:00,66.886
2024-01-02 05:00:00,67.284
2024-01-02 06:00:00,67.082
2024-01-02 07:00:00,68.18
2024-01-02 08:00:00,68.389
2024-01-02 09:00:00,64.739
2024-01-02 10:00:00,63.453
2024-01-02 11:00:00,63.947
2024-01-02 12:00:00,62.43
2024-01-02 13:00:00,60.923
2024-01-02 14:00:00,60.576
2024-01-02 15:00:00,58.336
2024-01-02 16:00:00,58.24
2024-01-02 17:00:00,57.143
2024-01-02 18:00:00,55.831
2024-01-02 19:00:00,58.285
2024-01-02 20:00:00,58.039
2024-01-02 21:00:00,58.991
2024-01-02 22:00:00,59.793
2024-01-02 23:00:00,60.244
2024-01-03 00:00:00,61.755
2024-01-03 01:00:00,64.348
2024-01-03 02:00:00,65.149
2024-01-03 03:00:00,66.027
2024-01-03 04:00:00,67.85
2024-01-03 05:00:00,67.573
2024-01-03 06:00:00,68.173
2024-01-03 07:00:00,67.504
2024-01-03 08:00:00,68.777
2024-01-03 09:00:00,66.938
2024-01-03 10:00:00,65.624
2024-01-03 11:00:00,64.649
2024-01-03 12:00:00,63.33
2024-01-03 13:00:00,62.409
2024-01-03 14:00:00,58.955
2024-01-03 15:00:00,59.791
2024-01-03 16:00:00,58.859
2024-01-03 17:00:00,56.431
2024-01-03 18:00:00,57.584
2024-01-03 19:00:00,57.461
2024-01-03 20:00:00,59.015
2024-01-03 21:00:00,58.722
2024-01-03 22:00:00,60.141
2024-01-03 23:00:00,61.171
2024-01-04 00:00:00,60.775
2024-01-04 01:00:00,61.774
2024-01-04 02:00:00,63.336
2024-01-04 03:00:00,63.897
2024-01-04 04:00:00,65.627
2024-01-04 05:00:00,65.991
2024-01-04 06:00:00,65.804
2024-01-04 07:00:00,66.307
2024-01-04 08:00:00,65.012
2024-01-04 09:00:00,65.359
2024-01-04 10:00:00,63.765
2024-01-04 11:00:00,62.115
2024-01-04 12:00:00,61.066
2024-01-04 13:00:00,61.194
2024-01-04 14:00:00,58.86
2024-01-04 15:00:00,58.046
2024-01-04 16:00:00,56.564
2024-01-04 17:00:00,56.34
2024-01-04 18:00:00,56.415
2024-01-04 19:00:00,57.059
2024-01-04 20:00:00,58.725
2024-01-04 21:00:00,57.036
2024-01-04 22:00:00,57.99
2024-01-04 23:00:00,59.214
2024-01-05 00:00:00,58.187
2024-01-05 01:00:00,60.048
2024-01-05 02:00:00,60.889
2024-01-05 03:00:00,62.419
2024-01-05 04:00:00,63.638
2024-01-05 05:00:00,65.069
2024-01-05 06:00:00,65.734
2024-01-05 07:00:00,64.48
2024-01-05 08:00:00,62.83
2024-01-05 09:00:00,62.182
2024-01-05 10:00:00,61.126
2024-01-05 11:00:00,60.481
2024-01-05 12:00:00,58.295
2024-01-05 13:00:00,57.54
2024-01-05 14:00:00,56.874
2024-01-05 15:00:00,56.549
2024-01-05 16:00:00,53.796
2024-01-05 17:00:00,54.145
2024-01-05 18:00:00,54.39
2024-01-05 19:00:00,54.372
2024-01-05 20:00:00,54.551
2024-01-05 21:00:00,55.273
2024-01-05 22:00:00,55.849
2024-01-05 23:00:00,56.01
2024-01-06 00:00:00,56.181
2024-01-06 01:00:00,58.349
2024-01-06 02:00:00,59.806
2024-01-06 03:00:00,61.235
2024-01-06 04:00:00,61.232
2024-01-06 05:00:00,60.402
2024-01-06 06:00:00,62.396
2024-01-06 07:00:00,62.704
2024-01-06 08:00:00,62.356
2024-01-06 09:00:00,60.538
2024-01-06 10:00:00,58.981
2024-01-06 11:00:00,57.388
2024-01-06 12:00:00,57.69
2024-01-06 13:00:00,57.504
2024-01-06 14:00:00,54.562
2024-01-06 15:00:00,53.622
2024-01-06 16:00:00,51.911
2024-01-06 17:00:00,52.551
2024-01-06 18:00:00,52.039
2024-01-06 19:00:00,52.092
2024-01-06 20:00:00,51.616
2024-01-06 21:00:00,52.612
2024-01-06 22:00:00,53.88
2024-01-06 23:00:00,55.554
2024-01-07 00:00:00,57.343
2024-01-07 01:00:00,58.722
2024-01-07 02:00:00,60.209
2024-01-07 03:00:00,61.624
2024-01-07 04:00:00,62.218
2024-01-07 05:00:00,63.325
2024-01-07 06:00:00,63.305
2024-01-07 07:00:00,62.574
2024-01-07 08:00:00,61.772
2024-01-07 09:00:00,61.938
2024-01-07 10:00:00,60.333
2024-01-07 11:00:00,59.278
2024-01-07 12:00:00,58.071
2024-01-07 13:00:00,56.251
2024-01-07 14:00:00,54.287
2024-01-07 15:00:00,54.318
2024-01-07 16:00:00,53.538
2024-01-07 17:00:00,52.616
2024-01-07 18:00:00,52.276
2024-01-07 19:00:00,53.769
2024-01-07 20:00:00,53.363
2024-01-07 21:00:00,55.929
2024-01-07 22:00:00,53.882
2024-01-07 23:00:00,56.409
2024-01-08 00:00:00,59.743
2024-01-08 01:00:00,61.225
2024-01-08 02:00:00,62.975
2024-01-08 03:00:00,63.39
2024-01-08 04:00:00,64.304
2024-01-08 05:00:00,65.09
2024-01-08 06:00:00,65.007
2024-01-08 07:00:00,64.901
2024-01-08 08:00:00,65.321
2024-01-08 09:00:00,64.233
2024-01-08 10:00:00,62.405
2024-01-08 11:00:00,61.85
2024-01-08 12:00:00,59.539
2024-01-08 13:00:00,59.027
2024-01-08 14:00:00,57.905
2024-01-08 15:00:00,56.812
2024-01-08 16:00:00,55.693
2024-01-08 17:00:00,56.721
2024-01-08 18:00:00,54.391
2024-01-08 19:00:00,55.366
2024-01-08 20:00:00,55.834
2024-01-08 21:00:00,57.18
2024-01-08 22:00:00,57.911
2024-01-08 23:00:00,57.981
2024-01-09 00:00:00,64.002
2024-01-09 01:00:00,62.449
2024-01-09 02:00:00,64.362
2024-01-09 03:00:00,67.032
2024-01-09 04:00:00,67.988
2024-01-09 05:00:00,67.791
2024-01-09 06:00:00,67.776
2024-01-09 07:00:00,67.793
2024-01-09 08:00:00,68.056
2024-01-09 09:00:00,65.765
2024-01-09 10:00:00,66.186
2024-01-09 11:00:00,64.043
2024-01-09 12:00:00,62.668
2024-01-09 13:00:00,61.842
2024-01-09 14:00:00,58.725
2024-01-09 15:00:00,58.027
2024-01-09 16:00:00,58.482
2024-01-09 17:00:00,57.374
2024-01-09 18:00:00,57.225
2024-01-09 19:00:00,57.718
2024-01-09 20:00:00,59.349
